TX: 13:32:25	/?!
RX: 13:32:35	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 9C BD 64 04 18 D3 44 08 D8 BA 5D EE 15 E4 0F D9 54 7C 81 3A CA AA C9 C8 9E 39 8A AE 86 82 6D 7E B7 5C 1F 37 B3 C3 A7 F4 D8 F0 B3 5A 77 56 7D C5 41 A8 18 BC BC F9 CA E5 0D 48 2C 65 C0 65 E7 59 E3 C1 3A 42 4E FE FA 88 6B 8A 6B 39 B8 74 A9 B8 73 86 EA D4 B1 D2 5E 12 C5 0A B3 7E
TX: 13:32:35	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:35	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 9E AF 47 A0 B2 D5 68 94 6A E3 7A 9A 90 BE 44 B5 84 B3 95 D4 57 45 57 D2 BF EE FB 25 C2 CA A6 B1 C5 E2 CB E9 3D B3 F5 3F DF A2 1F 07 05 AE A9 5E 38 07 DB 1A E1 91 9D 9C E0 D6 FF 08 8B 18 FE E9 7C DE 7F 67 81 41 15 56 CC 75 26 A0 FB DC 06 C6 D3 07 E6 7A 42 49 25 57 87 96 A2 7E
TX: 13:32:35	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:35	7E A0 08 02 25 03 11 FD 05 7E 7E A0 54 03 02 25 90 48 76 74 A5 23 40 2A 4D FA 5C CE FF 80 EE 0E 08 DA 75 1B 3D CC EC 71 56 A5 B8 41 FD 97 E2 97 2B C9 C7 CE 76 8F F3 21 BC B9 3A 8E BB E3 3E 11 1D ED B7 1F B4 8A 33 E8 89 B2 51 0F EE 47 43 C4 B9 FA 9A BE 3E 23 B6 03 EC E8 0F 4E 9B BC 6D 7E
TX: 13:32:35	7E A0 28 02 25 03 38 AF D9 E6 E6 00 DB 00 18 30 00 00 00 04 2A 7B 38 7F C3 7F 81 A2 B1 3A 56 44 89 52 B4 A5 5B E2 DF 86 54 7E
RX: 13:32:36	7E A0 28 02 25 03 38 AF D9 E6 E6 00 DB 00 18 30 00 00 00 04 2A 7B 38 7F C3 7F 81 A2 B1 3A 56 44 89 52 B4 A5 5B E2 DF 86 54 7E 7E A8 60 03 02 25 B2 C1 AC E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 04 D9 25 78 8C 38 45 30 CD DC 8C 09 8B 6D FF F9 8C 05 01 CB 83 97 8C 12 1A 2C 30 7C 42 C4 3D 02 3A 2A 0C 6E 4A F0 2B D1 B3 AD A3 CF B8 67 23 BC 66 B4 F6 9A 68 C7 E2 18 9D 02 25 4F 7A AC 51 C2 3A D8 D1 6A 7E
TX: 13:32:36	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:36	7E A0 08 02 25 03 51 F9 47 7E 7E A8 60 03 02 25 B4 F7 C9 5E C1 0A 7D 70 45 11 67 8A CC BB 73 A9 12 18 F0 86 53 17 B8 B8 CF 7F 78 BB 46 3D 9A 20 A4 BF 68 EA A6 7C 1F 3F 52 BE D3 D6 AF 7E 8B 84 80 FD E4 55 E4 41 8C D7 79 CF 3B 9C 80 5C 65 20 34 32 ED 7C 5D 30 5B 40 A5 72 67 CD A3 A0 90 E5 CA 26 51 75 5B D0 46 2B 14 23 5A 7E
TX: 13:32:36	7E A0 08 02 25 03 71 FB 66 7E
RX: 13:32:36	7E A0 08 02 25 03 71 FB 66 7E 7E A8 60 03 02 25 B6 E5 EA 1D 8D A7 0F 0A 81 C4 21 12 0F 15 C9 E7 82 73 DE 4B B3 78 D0 99 AD 49 3E E5 A2 22 C4 C3 28 96 64 24 3C B0 37 32 6E 8A 04 6D E7 EA 29 70 A3 97 6D 3D AF C8 9A 76 5C 38 B8 69 0F 50 99 CA A9 8A 65 AD CD 7B 18 21 6A B6 25 DE 98 4C AE C6 D5 64 9D 55 9A 27 6C DF 7A FF 53 7E
TX: 13:32:36	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:36	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 B8 9B 03 1D DE 70 D3 D3 42 C7 E1 7E EC 76 94 0F BC 90 7A 11 22 22 D5 87 3D 90 C6 E3 36 43 23 F7 AE FB 4B 16 8F DB 88 92 34 DB A5 5E F2 71 E8 56 17 52 07 96 61 8A 67 D1 36 62 CF 9F 66 57 FC 84 BE FD DD F1 3E E2 F3 59 AF 79 28 28 F8 C3 C2 01 D4 3B E6 74 AA 21 C9 F1 57 5C F4 7E
TX: 13:32:36	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:37	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 BA 89 20 3F 48 63 2A 53 7D E7 36 35 6E C2 97 6E 6D 6D 82 47 B3 FC 4D 7F 23 F1 E2 61 54 13 92 4D 63 E7 AE AA FA 7F AB FD 22 F9 2F BE 78 44 54 7E 9E 63 C6 4D 56 12 FE 38 DF 2E 59 48 46 C5 18 BB BD CC 2B 57 0A AC 9F F4 88 4D 13 BA 60 D0 86 53 81 85 4C 2F FC 05 42 7D E2 4A 03 7E
TX: 13:32:37	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:37	7E A0 08 02 25 03 D1 F1 C3 7E 7E A0 54 03 02 25 BC 26 9D 74 8D E7 5B 28 6A 87 D0 06 96 E2 67 CA 81 A0 81 19 E0 49 0A B7 41 5A 85 75 8C EC 50 4C 21 B3 9B 3C 6D 81 31 FC 7B CF F8 BB 16 0A CE 96 72 6B 7A F8 6A 84 A3 DB 4D D8 EA BE 1D 31 A2 95 75 B3 88 AE 7D DB 02 84 07 F4 60 CA 4D 4D 78 7E
TX: 13:32:37	7E A0 28 02 25 03 FA B1 3C E6 E6 00 DB 00 18 30 00 00 00 05 DD 74 D3 B6 5D 3B 43 C4 FD 69 94 F4 85 F9 9D 1F 4A D3 BB 2C D0 7E
RX: 13:32:37	7E A0 28 02 25 03 FA B1 3C E6 E6 00 DB 00 18 30 00 00 00 05 DD 74 D3 B6 5D 3B 43 C4 FD 69 94 F4 85 F9 9D 1F 4A D3 BB 2C D0 7E 7E A8 60 03 02 25 DE AB 05 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 05 F8 82 12 77 AC E9 94 4D 45 98 76 AC F3 B9 69 A6 C6 11 66 42 45 03 83 C6 BB F0 8B A0 C5 15 1E BF 72 0D D6 18 5C F6 EC FB 2F CB 82 7D DF 74 43 E9 D2 51 A6 D6 73 07 9A D4 D3 27 E8 9F EC C0 5A 11 D5 8D B7 7E
TX: 13:32:37	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:37	7E A0 08 02 25 03 11 FD 05 7E 7E A8 60 03 02 25 D0 D5 EC 04 6D C7 EA 50 D8 8F 14 02 32 A1 02 D7 C0 5D 7D 2D F7 C1 3D 76 46 C1 52 8B 06 22 64 51 E3 CF 5F 13 68 2D 9A 65 E0 00 7C 5F A5 82 F5 C8 77 DC 07 F2 FA 0D 5D 3D E5 92 90 53 F7 40 63 D1 DE AA DB 5F A8 F4 DE E8 51 A9 51 59 B5 D4 AE 96 51 27 D2 13 B3 19 28 BC 64 4E BC 7E
TX: 13:32:37	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:38	7E A0 08 02 25 03 31 FF 24 7E 7E A8 60 03 02 25 D2 C7 CF D8 C0 5F 02 53 70 EE 84 D3 D1 1E 44 30 E0 54 17 F4 FB 92 03 EA FF 74 BC D2 E4 C2 68 44 87 AD 3E 96 9C AD 3C 78 C5 1A C4 12 2A C7 73 90 C8 14 B0 5D 30 C4 57 81 9A F4 F6 CD A6 F0 E6 59 1D A9 95 18 5D F3 3D 87 9B 8F CE 71 79 BE 87 F4 BE F8 3F C5 04 1C 0A 80 19 4E 63 7E
TX: 13:32:38	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:38	7E A0 08 02 25 03 51 F9 47 7E 7E A8 60 03 02 25 D4 F1 AA 88 B4 E0 CE B7 57 EF C0 F1 94 90 75 69 AA C3 5F FD 1A 1A 39 B3 86 4B CD A1 84 C2 D3 F4 49 AE 0C EA 7D BA 72 EA 2C C5 61 56 45 47 40 2C 3F 43 95 80 9B 1B D3 26 75 0C 50 CD 70 16 D2 38 ED E5 BF 10 DE DF D8 54 6C FC 5C 8F A1 FB 8D 70 76 53 07 39 72 5B E9 57 A1 E1 2E 7E
TX: 13:32:38	7E A0 08 02 25 03 71 FB 66 7E
RX: 13:32:38	7E A0 08 02 25 03 71 FB 66 7E 7E A8 60 03 02 25 D6 E3 89 23 93 26 25 F4 F9 9E 73 66 DD E6 F5 C7 E0 52 97 18 2D F9 CC CC BB E5 57 87 7B 0F 50 3B A3 14 0D 79 A8 CF CC CA 67 7F 5B 5F 9F 5C BF 8D D6 1F 30 97 4E 53 9D 27 F9 71 42 30 0B 60 09 00 63 F6 3C 9F 4B F8 F3 68 7A 10 11 D9 E1 81 10 FD C7 A0 C0 5B E7 72 7A DD 82 9B 80 7E
TX: 13:32:38	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:38	7E A0 08 02 25 03 91 F5 81 7E 7E A0 54 03 02 25 D8 04 B8 C8 14 9E 4A B6 AD F4 E6 B3 67 91 77 F1 FB 00 E1 05 C3 1A 77 68 65 C0 FE 3B 3A 62 D1 47 0E E5 16 40 5D 80 CB F5 E7 AB AC B2 ED D9 DB D2 44 F0 6B 0A 29 61 2F 83 3E 54 84 29 B5 EA 1D BA 18 D9 32 DA 01 F4 B0 44 4C 9F 6A FD 41 00 9E 7E
TX: 13:32:38	7E A0 28 02 25 03 BC 83 1B E6 E6 00 DB 00 18 30 00 00 00 06 A1 B1 0F 76 83 D6 69 46 14 7B B1 04 DB AD 0E 17 1C 37 E6 76 8B 7E
RX: 13:32:38	7E A0 28 02 25 03 BC 83 1B E6 E6 00 DB 00 18 30 00 00 00 06 A1 B1 0F 76 83 D6 69 46 14 7B B1 04 DB AD 0E 17 1C 37 E6 76 8B 7E 7E A8 60 03 02 25 FA 8D 62 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 06 79 5B 21 DE 7C BD B1 2B 88 19 F3 94 2F 25 C4 40 DD D3 5B F1 AA 63 E0 C6 2C 8F 63 06 25 AA 6E 34 7B 92 FB 6D 82 2D FF 7A 70 95 73 9C E9 CA AA 02 6B 34 78 41 5E CD 09 77 71 1C 2F D4 00 CE 74 A4 F7 7A 04 7E
TX: 13:32:38	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:39	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 FC BB 07 D3 67 97 2E 71 37 50 FA A6 83 2E 07 E4 B7 F1 9B 5D F9 99 39 2A E7 D1 D5 ED 82 DD 62 F3 5A 33 B5 06 7A EC 31 AD D5 C8 B6 35 C7 72 AA D1 82 05 72 13 06 DB AF 40 BB FB 55 BE 44 8B AB 7F 8A D7 D1 2F E2 6B A1 4D E3 51 FE 32 46 6C 81 66 69 52 5F B7 60 3D D4 CC C6 AA 40 7E
TX: 13:32:39	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:39	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 FE A9 24 B3 E4 68 BE D0 1D FE CB 90 51 AA 47 A6 F4 1F A6 23 9B BD 20 0D FC 59 D9 B3 7D B1 98 D4 F2 5E E5 B8 57 68 E0 1D E5 3C 44 83 7A 66 91 75 D1 7D 0D C5 82 75 AE 46 3F 6B 6D F3 49 DB 3D 07 56 21 F1 91 CC 6B 8C 1F 93 2C B9 91 0E 99 4F DC 32 5D 44 0C D3 6D F5 83 12 28 EA 7E
TX: 13:32:39	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:39	7E A0 08 02 25 03 11 FD 05 7E 7E A8 60 03 02 25 F0 D7 CD 84 40 0C E8 0E 31 31 18 44 4D C3 8F 87 76 A7 4B 19 EF 89 CB 92 87 26 1D 06 5A 8C B7 10 A4 84 F0 C5 B8 B0 63 DA 21 9E 09 71 3A 10 58 1D B6 2E 74 72 93 BF CB 99 03 73 5C B6 BA 7A C7 A2 FC CF 38 67 FB 61 18 63 DB F0 04 65 4E 0A BB A3 A3 30 B4 9D 87 D8 37 37 1F 4E 13 7E
TX: 13:32:39	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:39	7E A0 08 02 25 03 31 FF 24 7E 7E A8 60 03 02 25 F2 C5 EE 5D 05 13 89 16 86 07 66 A9 60 6F 45 FE 82 A8 67 5C 6E FE 10 4F 69 C1 2D 6E AD 44 F2 0B 0E 76 7A 0A 88 FC 30 3B 01 77 9E 38 D3 E6 EF 82 CB BC 28 D5 CB 2C A4 65 D8 C9 2B 01 3E 60 E5 60 D9 96 9D 47 30 A2 25 B7 FA CA 49 59 0E D5 50 D1 EB 2A 16 28 70 19 C6 F2 2E BB 3A 7E
TX: 13:32:39	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:39	7E A0 08 02 25 03 51 F9 47 7E 7E A0 54 03 02 25 F4 6A 53 54 B1 E7 8A 54 00 13 94 9F 16 91 00 A8 72 85 B1 36 9A 12 31 35 FB F2 6D 57 6D 29 06 C2 DE C0 AD 1E 64 B2 12 A7 B0 6B B5 AB B5 91 4F 10 3B 37 74 B1 F3 03 C5 24 8F 51 79 01 A1 72 06 75 B3 C7 0F AC BD C2 57 9C 58 83 71 BB 13 A1 53 7E
TX: 13:32:39	7E A0 28 02 25 03 7E 9D FE E6 E6 00 DB 00 18 30 00 00 00 07 2A 3D 35 8D CB AF 20 45 2F C5 23 89 9B 07 7B 8A 73 C3 3F 41 D5 7E
RX: 13:32:40	7E A0 28 02 25 03 7E 9D FE E6 E6 00 DB 00 18 30 00 00 00 07 2A 3D 35 8D CB AF 20 45 2F C5 23 89 9B 07 7B 8A 73 C3 3F 41 D5 7E 7E A8 60 03 02 25 16 EF 4F E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 07 26 A4 A8 C0 5D CF 32 24 73 B0 DB 75 2A F3 A1 CC C1 EF 68 BA C4 56 3C 83 8B 9D AF 3D B6 4A E2 BC 0E 7E EA F2 F8 6B FB C0 73 15 95 85 0D 9A 3D 4B E0 AC 94 8D 00 97 F8 68 43 A5 B9 D8 4C E0 24 BC 61 C9 C1 7E
TX: 13:32:40	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:40	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 18 91 A6 35 E9 76 BE 3B DD 3B 1A C2 12 F3 7C EF E5 11 84 72 F6 8F AC 7B 22 CF ED 14 8B D6 56 76 A4 B1 33 F0 0D CB 5F 18 12 53 F1 32 79 09 84 CF 04 D5 A6 86 AD 2C 8D 5D F0 49 84 D9 8A 5F A9 B7 2F B9 74 DE 14 88 81 44 7D 31 0B E3 1B EA A1 20 12 E1 42 A0 4F B2 2F 60 66 3E 09 7E
TX: 13:32:40	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:40	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 1A 83 85 B4 13 DC 09 2C ED CD D0 E8 2F C9 69 2D 9D AF 79 18 F1 FE C8 6D 16 C4 50 FC 73 E8 B2 E2 87 F2 E8 89 AA 89 2E A1 4F 36 31 FA 32 60 80 9C EC AF 81 10 A0 B4 1C 37 9A 39 C3 6A 9A 94 79 3A 0D 6C 54 F6 8E C6 D6 E5 7B 2A 79 7E 44 6B 89 7D 64 80 AF 13 73 1A BF 38 EB C6 EE 7E
TX: 13:32:40	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:40	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 1C B5 E0 6E 48 9E 7A 52 26 B1 61 5B 3A F9 DA C1 AA 49 C0 40 56 DE 97 49 E2 8D 76 3D 5C DB D6 70 8F 6E EA EB EF 31 62 58 4C 77 04 12 91 08 22 4A 75 90 7F 5B F0 0F 38 62 1C BF 8F 10 A9 89 12 BA 75 A6 E9 D2 1D A8 DE 1D 43 D2 24 85 F8 95 5A 55 B3 AC 32 B1 15 D9 D2 D0 E7 4D 9E 7E
TX: 13:32:40	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:40	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 1E A7 C3 12 9B B5 C4 F4 72 B8 50 43 C9 0B 9F 93 96 F4 76 75 63 6E B9 3C 93 BC 02 F2 3D B4 61 AB FC 56 25 18 20 B3 08 61 00 CF 5A D1 78 34 C4 36 15 3D 31 D9 87 5A 32 E6 FD 74 64 B0 86 2F 0A 7E 3E 60 35 52 67 02 D8 9C E4 1B 75 79 B4 CC 63 CA 5E 8D 9D 74 57 5C 04 85 16 2A EB 7E
TX: 13:32:40	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:40	7E A0 08 02 25 03 11 FD 05 7E 7E A0 54 03 02 25 10 40 F2 62 73 4E A1 20 5E 3B A3 D7 0D D5 36 0D 10 53 4D AA 9B E1 56 4B 36 43 45 ED 3B 29 19 A3 B7 CA 34 37 0C 2D 52 47 50 7D 60 CE C8 E8 AA 83 D5 BE 8E 9B 97 D6 75 D1 0A 54 7C B6 14 B8 7C 40 B9 05 3C 5C 67 A4 71 7E FE 4A C1 EC 9D 12 09 7E
TX: 13:32:40	7E A0 28 02 25 03 30 E7 55 E6 E6 00 DB 00 18 30 00 00 00 08 CF B6 E6 1E 4D 7F 5F D3 81 C3 D7 81 68 F3 5B DB 75 31 74 F9 4F 7E
RX: 13:32:41	7E A0 28 02 25 03 30 E7 55 E6 E6 00 DB 00 18 30 00 00 00 08 CF B6 E6 1E 4D 7F 5F D3 81 C3 D7 81 68 F3 5B DB 75 31 74 F9 4F 7E 7E A8 60 03 02 25 32 C9 28 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 08 40 4F 99 44 CF B3 7D F7 84 09 AF CC F5 CD 7D D2 CF 8E 50 AB 1C 67 EA 8D DE C4 B9 65 6D 5A E9 80 D4 B7 F1 8D A3 3E F8 DF 14 C2 19 22 46 E7 8B 81 79 35 90 AF 8A 73 F9 DF 57 9F 5B F9 4A 69 E5 56 00 91 30 7E
TX: 13:32:41	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:41	7E A0 08 02 25 03 51 F9 47 7E 7E A8 60 03 02 25 34 FF 4D 59 AD CB 45 B5 A2 1A B0 45 48 02 89 41 02 8C E6 EC ED CE CE 8F 0D 1D 3B 1B 09 2E 7A 70 FE 01 98 F9 5C 12 2C 71 4B 31 FF 89 6C 77 97 A8 F0 30 8A 0D 84 57 87 5E 97 68 CA 55 80 8E 86 05 67 ED AC 80 AF 14 5C F8 06 96 A1 5E 41 8B 6A 25 3A DE 56 A8 7B C4 FA 15 68 E3 3C 7E
TX: 13:32:41	7E A0 08 02 25 03 71 FB 66 7E
RX: 13:32:41	7E A0 08 02 25 03 71 FB 66 7E 7E A8 60 03 02 25 36 ED 6E A6 D9 94 62 DD 27 64 4D 9B BC 22 57 7A 41 25 52 5C FE BD 59 45 49 A9 FB AD 96 6D 1A CD 6F 86 AD 7C 71 1E 33 62 20 FD C3 22 71 70 27 4F A7 E0 7B C7 E6 DA BF 0B 2E 05 6C 89 81 C8 98 C2 B1 11 4C 4D 73 96 F7 DB 8C C4 46 53 A2 76 93 70 22 57 4D 96 7D E2 BD 76 58 74 13 7E
TX: 13:32:41	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:41	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 38 93 87 0C 71 58 52 7E 28 5C FA D1 16 C3 A3 21 4A DE 4E 93 EB F6 E3 5A 3E 89 ED CB F6 99 5C A0 A1 50 DE 0D 28 6D A3 C2 88 D9 9C 59 E1 34 F8 B5 5D 0C 41 83 60 D9 46 97 B6 2F 32 41 88 94 99 F1 43 D9 B7 96 A4 CD 5A 85 71 03 A1 F0 A3 9F 71 91 B1 B0 75 7D 92 58 39 0E 51 B4 AD 7E
TX: 13:32:41	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:41	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 3A 81 A4 C6 A9 D9 67 E2 5E AF 6F 13 05 A0 97 A1 7B AB 80 60 62 8E 91 E9 04 CB 43 FB A6 5D 84 A9 98 33 1F 92 5C 6E 3A 22 38 41 55 3E A5 C4 BA C8 11 70 01 CC 2A 33 0C 10 FC 38 D5 DA EA 45 46 63 C3 4D D0 DF D3 FD 12 30 51 B8 CF F1 8C 12 24 DF 30 3B 39 38 0E 1C 0C 22 F5 FD 78 7E
TX: 13:32:41	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:41	7E A0 08 02 25 03 D1 F1 C3 7E 7E A0 54 03 02 25 3C 2E 19 6E 1E 0A D6 8F E5 1B 7D 03 34 44 6B 8F 46 A8 24 9A E4 97 BD CE C3 A3 5F DE 6A 2B F4 F1 7E E2 A7 A8 2A F8 9F 74 21 8F 11 C8 D0 C2 F0 73 8A 4C DB 31 FE 3A D2 28 50 05 52 66 1F EE 7E 20 C1 9D 16 33 90 D6 73 39 8A FC 1F D6 41 46 EB 7E
TX: 13:32:41	7E A0 28 02 25 03 F2 F9 B0 E6 E6 00 DB 00 18 30 00 00 00 09 B9 C2 82 EB CB 79 01 35 9B 09 7D 86 AF 62 C9 39 3B 9F EC 72 D8 7E
